Latitude,Longitude,Year,Month,Day,Temperature,Temp_MAX,Temp_MIN,Dew,Wind speed,Wind speed_MAX,Wind speed_MIN,Wind direction,Relative humidity,specfic humidity, Surface Pressure,Fire
29.76,78.68,2021,1,24,10.12,17.34,5.76,-1.57,2.23,4.27,0.92,132.06,46.06,3.91,87.52,0
29.42,79.09,2021,1,29,10.15,18.38,5.33,-5.26,2.27,4.3,0.86,187.5,35.19,2.87,89.45,0
29.76,78.68,2021,1,31,10.15,17.8,5.09,-5.4,1.98,4.77,0.42,193.44,34.5,2.93,87.64,0
29.76,78.68,2021,1,13,10.17,18.22,5.8,-4.38,1.58,4.14,0.34,186.19,38.5,3.17,87.42,0
29.76,78.68,2021,2,4,10.18,16.23,5.15,2.35,2.59,3.72,1.43,108.12,61.38,5.25,87.75,0
29.42,79.09,2021,2,6,10.21,19.21,4.12,-0.42,2.57,4.35,1.23,226.62,52.94,4.15,89.37,0
29.42,79.09,2020,3,7,10.21,14.69,5.49,7.39,3.37,4.89,1.48,104.25,83.56,7.26,89.45,0
29.76,78.68,2020,2,11,10.21,17.25,5.01,-0.5,1.73,4.15,0.16,165.88,48.88,4.27,87.89,0
29.42,79.09,2021,1,30,10.3,19.23,5.19,-6.61,2.42,4.61,1.28,231.62,32.56,2.62,89.3,0
29.76,78.68,2020,3,6,10.44,13.25,6.63,6.9,4.12,6.96,2.31,95.88,79.62,7.2,87.21,0
29.76,78.68,2021,1,27,10.44,18.54,6.08,-7.54,2.0,4.49,0.44,189.25,29.19,2.5,87.61,0
29.76,78.68,2021,1,15,10.46,17.81,6.76,-2.84,1.71,4.06,0.53,204.12,40.81,3.54,87.46,0
29.76,78.68,2020,3,15,10.49,15.33,6.78,5.76,2.05,2.92,0.91,176.38,73.81,6.59,87.66,0
29.76,78.68,2021,1,21,10.51,19.28,4.37,-4.98,1.91,4.78,0.34,158.5,36.38,3.05,87.23,0
29.76,78.68,2021,1,22,10.59,17.96,4.24,-3.96,1.79,3.96,0.39,146.25,37.81,3.3,87.53,0
29.76,78.68,2020,2,23,10.64,13.69,8.01,6.9,1.93,2.93,0.79,53.81,78.06,7.14,87.91,0
29.42,79.09,2021,1,31,10.65,19.7,4.73,-5.45,2.48,4.76,0.98,217.19,34.31,2.81,89.48,0
